MATERIAL,Repellent_cloth_YF,Repellent_skin_YF,Repellent_wash_YF,Repellent_space_YF
"Acetic acid, chloro-, 2,4-dimethylbenzyl ester",1,-,-,6
"Acetic acid, chloro-, 3,4-dimethylbenzyl ester",1,-,-,-
"Acetic acid, chloro-, p-(Î±,Î±-dimethylbenzyl)phenyl ester",1,-,-,-
"Acetic acid, chloro-, (4,4-dimethyl-m-dioxan-5-yl)-methyl ester",1,-,-,-
"Acetic acid, chloro-, [2,2-dimethyl-3-(2-methylpropenyl)cyclopropyl]methyl ester",1,-,-,6
"Acetic acid, chloro-, trans-3,7-dimethyl-2,6-octadienyl ester",1,-,-,-
"Acetic acid, chloro-, 2,2-dimethylpentyl ester",1,-,-,6
"Acetic acid, chloro-, ester with methyl saliculate",1,-,-,-
"Acetic acid, chloro-, ethyl ester",-,-,-,-
"Acetic acid, chloro-, 4-ethyl-l-methylicotyl ester",1,-,-,-
"Acetic acid, chloro-, m-ethylphenyl ester",1,-,-,-
"Acetic acid, chloro-, p-ethylphenyl ester",1,-,-,-
"Acetic acid, chloro-, heptyl ester",1,-,-,7
"Acetic acid, chloro-, 2,4-hexadienyl ester",1,-,-,-
"Acetic acid, chloro-, hexyl ester",1,-,-,6
"Acetic acid, chloro-, 3-methoxybutyl ester",1,-,-,6
"Acetic acid, chloro-, 3-methoxy-1,3-dimethylbutyl ester",2,-,-,-
"Acetic acid, chloro-, 2-methoxy-l-methylethyl ester",1,-,-,-
"Acetic acid, chloro-, p-methoxyphenyl ester",1,-,-,-
"Acetic acid, chloro-, 2-methoxy-4-propenylphenyl ester",1,-,-,-
"Acetic acid, chloro-, 3-methoxypropyl ester",1,-,-,-
"Acetic acid, chloro-, m-methylbenzyl ester",1,-,-,6
"Acetic acid, chloro-, 1-methyl-2-phenoxyethyl ester",1,-,-,-
"Acetic acid, chloro-, 1-naphthyl ester",1,-,-,-
"Acetic acid, chloro-, 2-naphthyl ester",1,-,-,-
"Acetic acid, chloro-, Ï-nitrophenyl ester",1,-,-,-
"Acetic acid, chloro-, p-nitrophenyl ester",1,-,-,-
"Acetic acid, chloro-, nonyl ester",1,-,-,6
"Acetic acid, chloro-, Ï-nonylphenyl ester",1,-,-,-
"Acetic acid, chloro-, 5-norbornen-2-ylmethyl ester",-,-,-,-
"Acetic acid, chloro-, octyl ester",1,-,-,6
"Acetic acid, chloro-, pentachlorophenyl ester",1,-,-,-
"Acetic acid, chloro-, 6-pentyl-m-tolyl ester",1,-,-,-
"Acetic acid, chloro-, 3-(3-phenoxypropoxy)propyl ester",1,-,-,-
"Acetic acid, chloro-, 2-phenylcyclohexyl ester",1,-,-,-
"Acetic acid, chloro-, m-phenylene ester",1,-,-,-
"Acetic acid, chloro-, Ï-phenylene ester",1,-,-,-
"Acetic acid, chloro-, Ï-phenylene ester",1,-,-,-
"Acetic acid, chloro-, phenyl ester",2,-,-,-
"Acetic acid, chloro-, piperonyl ester",1,-,-,6
"Acetic acid, chloro-, 1,2,3-propanetriyl ester",1,-,-,6
"Acetic acid, chloro-, 2-propylheptyl ester",1,-,-,6
"Acetic acid, chloro-, 2,3,4,6-tetrachlorophenyl ester",1,-,-,-
